login,pre_commit_count,pre_mean_message_length,pre_active_weeks,pre_repos_touched,pre_mean_commits_per_active_week,pre_frac_multiline,pre_frac_conventional,pre_frac_mentions_test,pre_frac_has_bullets,pre_mean_inter_commit_hours,pre_frac_burst_commits,pre_sampled_test_cowrite_rate,pre_file_sample_count,pre_mean_pr_body_length,pre_frac_pr_has_body,post_commit_count,post_mean_message_length,post_active_weeks,post_repos_touched,post_mean_commits_per_active_week,post_frac_multiline,post_frac_conventional,post_frac_mentions_test,post_frac_has_bullets,post_mean_inter_commit_hours,post_frac_burst_commits,post_sampled_test_cowrite_rate,post_file_sample_count,post_mean_pr_body_length,post_frac_pr_has_body,delta_commit_count,delta_mean_message_length,delta_active_weeks,delta_repos_touched,delta_mean_commits_per_active_week,delta_frac_multiline,delta_frac_conventional,delta_frac_mentions_test,delta_frac_has_bullets,delta_mean_inter_commit_hours,delta_frac_burst_commits,delta_sampled_test_cowrite_rate,delta_file_sample_count,delta_mean_pr_body_length,delta_frac_pr_has_body
pcmbs,83,35.51,8,1,10.38,0.048,0.0,0.0,0.0,32.83,0.695,0.0,0,0.0,0.0,17,35.53,3,1,5.67,0.353,0.0,0.0,0.0,628.64,0.688,0.0,0,0.0,0.0,-66,0.02,-5,0,-4.71,0.305,0.0,0.0,0.0,595.81,-0.007,0.0,0,0.0,0.0
mattyonder,48,20.98,11,4,4.36,0.021,0.0,0.0,0.0,140.17,0.532,0.0,0,0.0,0.0,14,15.79,6,2,2.33,0.0,0.0,0.0,0.0,895.48,0.615,0.0,0,0.0,0.0,-34,-5.19,-5,-2,-2.03,-0.021,0.0,0.0,0.0,755.31,0.083,0.0,0,0.0,0.0
Larshalvorhansen,13,33.85,7,1,1.86,0.0,0.0,0.0,0.0,582.89,0.333,0.0,0,0.0,0.0,87,10.52,5,2,17.4,0.023,0.0,0.0,0.0,192.83,0.744,0.0,0,0.0,0.0,74,-23.33,-2,1,15.54,0.023,0.0,0.0,0.0,-390.06,0.411,0.0,0,0.0,0.0
Nishchaypat,20,16.6,3,4,6.67,0.0,0.0,0.0,0.0,174.55,0.842,0.0,0,0.0,0.0,64,18.03,12,4,5.33,0.0,0.0,0.016,0.0,140.3,0.714,0.0,0,0.0,0.0,44,1.43,9,0,-1.34,0.0,0.0,0.016,0.0,-34.25,-0.128,0.0,0,0.0,0.0
DragunWF,41,16.0,20,1,2.05,0.0,0.0,0.0,0.0,317.92,0.325,0.0,0,0.0,0.0,59,18.8,19,1,3.11,0.068,0.0,0.034,0.051,285.91,0.5,0.0,0,0.0,0.0,18,2.8,-1,0,1.06,0.068,0.0,0.034,0.051,-32.01,0.175,0.0,0,0.0,0.0
subbusainath,70,34.54,3,1,23.33,0.3,0.0,0.043,0.0,23.9,0.899,0.0,0,0.95,0.0,7,69.43,3,3,2.33,0.143,0.714,0.0,0.0,1191.91,0.667,0.0,0,957.5,1.0,-63,34.89,0,2,-21.0,-0.157,0.714,-0.043,0.0,1168.01,-0.232,0.0,0,956.55,1.0
devejosh,5,20.4,3,2,1.67,0.0,0.0,0.0,0.0,2110.7,0.5,0.0,0,0.0,0.0,11,43.55,2,2,5.5,0.636,0.0,0.0,0.0,595.01,0.7,0.0,0,53.0,1.0,6,23.15,-1,0,3.83,0.636,0.0,0.0,0.0,-1515.69,0.2,0.0,0,53.0,1.0
SananMaarouf,47,51.06,5,2,9.4,0.021,0.0,0.0,0.0,40.71,0.391,0.0,0,0.0,0.0,18,40.89,6,3,3.0,0.0,0.0,0.0,0.0,177.11,0.529,0.0,0,0.0,0.0,-29,-10.17,1,1,-6.4,-0.021,0.0,0.0,0.0,136.4,0.138,0.0,0,0.0,0.0
Liebe3,23,12.83,8,5,2.88,0.043,0.0,0.0,0.0,371.89,0.682,0.0,0,0.0,0.0,22,33.14,9,1,2.44,0.318,0.409,0.0,0.0,444.23,0.619,0.0,0,0.0,0.0,-1,20.31,1,-4,-0.44,0.275,0.409,0.0,0.0,72.34,-0.063,0.0,0,0.0,0.0
Trrrrw,78,21.74,21,3,3.71,0.141,0.0,0.0,0.0,141.48,0.506,0.0,0,0.0,0.0,19,20.84,8,2,2.38,0.053,0.0,0.0,0.0,1008.75,0.556,0.0,0,0.0,0.0,-59,-0.9,-13,-1,-1.33,-0.088,0.0,0.0,0.0,867.27,0.05,0.0,0,0.0,0.0
